Cód. IBGE,Doses Aplicadas,Dose 1,Dose 2,Doses_janssen,Imunizados,POP_2010,ID_MUN_RES,MUNICIPIO,P_Comp_Imun,P_Parc_Imun
410010,5211,4116,1095,63.0,1158.0,7764,410010,Abatiá,14.91499227202473,53.01391035548686
410020,4399,3027,1372,75.0,1447.0,6376,410020,Adrianópolis,22.69447929736512,47.474905897114176
410030,5518,4516,1002,454.0,1456.0,8270,410030,Agudos do Sul,17.605804111245465,54.60701330108827
410040,45383,37225,8158,3383.0,11541.0,103204,410040,Almirante Tamandaré,11.182706096662919,36.06933839773652
410045,1974,1559,415,30.0,445.0,4306,410045,Altamira do Paraná,10.334417092429169,36.20529493729679
410050,13976,10380,3596,440.0,4036.0,20516,410050,Altônia,19.672450770130627,50.594657828036645
410060,7774,6112,1662,408.0,2070.0,13663,410060,Alto Paraná,15.150406206543218,44.73395301178365
410070,5867,4308,1559,231.0,1790.0,10179,410070,Alto Piquiri,17.58522448177621,42.32242852932508
410080,6052,4599,1453,169.0,1622.0,10283,410080,Alvorada do Sul,15.773606924049401,44.72430224642614
410090,3213,2526,687,153.0,840.0,5443,410090,Amaporã,15.432665809296346,46.40823075509829
410100,11043,8594,2449,434.0,2883.0,17308,410100,Ampére,16.65703720822741,49.65333949618673
410105,2266,1719,547,132.0,679.0,2874,410105,Anahy,23.62560890744607,59.81210855949895
410110,13141,10163,2978,661.0,3639.0,20610,410110,Andirá,17.65647743813683,49.3110140708394
410115,1986,1572,414,54.0,468.0,2859,410115,Ângulo,16.369359916054567,54.98426023084995
410120,15298,12140,3158,518.0,3676.0,18891,410120,Antonina,19.459001640993066,64.26340585463977
410130,4693,3717,976,226.0,1202.0,7351,410130,Antônio Olinto,16.351516800435313,50.5645490409468
410140,77425,60488,16937,6728.0,23665.0,120919,410140,Apucarana,19.57095245577618,50.02356949693596
410150,77284,61742,15542,3285.0,18827.0,104150,410150,Arapongas,18.076812289966394,59.28180508881421
410160,14054,11149,2905,476.0,3381.0,25855,410160,Arapoti,13.076774318313673,43.121253142525624
410165,2394,1702,692,40.0,732.0,3561,410165,Arapuã,20.55602358887953,47.79556304408874
410170,8423,6414,2009,339.0,2348.0,13419,410170,Araruna,17.497578060958343,47.79789850212385
410180,66067,54587,11480,5197.0,16677.0,119123,410180,Araucária,13.999815316941314,45.82406420254695
410185,1615,1172,443,37.0,480.0,2453,410185,Ariranha do Ivaí,19.567876070118224,47.77823073787199
410190,9349,7076,2273,282.0,2555.0,16354,410190,Assaí,15.623089152500919,43.267702091231506
410200,22314,16913,5401,746.0,6147.0,33025,410200,Assis Chateaubriand,18.61317183951552,51.21271763815292
410210,15575,11688,3887,732.0,4619.0,24698,410210,Astorga,18.701919183739573,47.32366993278808
410220,3099,2319,780,60.0,840.0,3913,410220,Atalaia,21.46690518783542,59.26399182213136
410230,6756,5469,1287,380.0,1667.0,11300,410230,Balsa Nova,14.752212389380531,48.39823008849557
410240,21227,15902,5325,814.0,6139.0,32184,410240,Bandeirantes,19.07469550087,49.40964454387273
410250,7185,5415,1770,130.0,1900.0,12656,410250,Barbosa Ferraz,15.012642225031605,42.78603034134007
410260,6654,5253,1401,350.0,1751.0,9735,410260,Barracão,17.986646122239343,53.95993836671803
410270,2575,1777,798,45.0,843.0,2727,410270,Barra do Jacaré,30.913091309130913,65.16318298496516
410275,2788,2100,688,35.0,723.0,3945,410275,Bela Vista da Caroba,18.326996197718632,53.2319391634981
410280,9421,7361,2060,247.0,2307.0,15079,410280,Bela Vista do Paraíso,15.29942303866304,48.81623449830891
410290,8204,6333,1871,351.0,2222.0,15880,410290,Bituruna,13.992443324937028,39.88035264483627
410300,2968,2276,692,141.0,833.0,4568,410300,Boa Esperança,18.235551663747813,49.82486865148862
410302,1488,1165,323,32.0,355.0,2764,410302,Boa Esperança do Iguaçu,12.843704775687408,42.149059334298116
410304,3680,2911,769,202.0,971.0,6554,410304,Boa Ventura de São Roque,14.815379920659138,44.41562404638389
410305,4851,3683,1168,40.0,1208.0,7911,410305,Boa Vista da Aparecida,15.269877385918344,46.55542914928581
410310,6224,4983,1241,161.0,1402.0,10987,410310,Bocaiúva do Sul,12.760535177937562,45.3535997087467
410315,2855,2066,789,47.0,836.0,3796,410315,Bom Jesus do Sul,22.0231822971549,54.425711275026345
410320,4214,3265,949,192.0,1141.0,6561,410320,Bom Sucesso,17.390641670477063,49.7637555250724
410322,2245,1624,621,33.0,654.0,3293,410322,Bom Sucesso do Sul,19.860309747950197,49.31673246279988
410330,4942,3725,1217,187.0,1404.0,7878,410330,Borrazópolis,17.82178217821782,47.28357451129728
410335,3159,2470,689,125.0,814.0,5735,410335,Braganey,14.193548387096774,43.068875326939846
410337,2027,1504,523,86.0,609.0,3209,410337,Brasilândia do Sul,18.977874727329386,46.86818323465254
410340,1794,1394,400,55.0,455.0,2695,410340,Cafeara,16.883116883116884,51.72541743970316
410345,9328,7458,1870,960.0,2830.0,14662,410345,Cafelândia,19.30159596235166,50.866184695130265
410347,2781,1987,794,89.0,883.0,4290,410347,Cafezal do Sul,20.582750582750585,46.31701631701632
410350,5889,4434,1455,177.0,1632.0,8069,410350,Califórnia,20.225554591647043,54.95104721774693
410360,15005,11280,3725,473.0,4198.0,23886,410360,Cambará,17.57514862262413,47.22431549861844
410370,58362,44513,13849,2964.0,16813.0,96733,410370,Cambé,17.380831774058493,46.01635429481149
410380,4815,3816,999,160.0,1159.0,7236,410380,Cambira,16.0171365395246,52.736318407960205
410390,9453,7171,2282,248.0,2530.0,15394,410390,Campina da Lagoa,16.43497466545407,46.583084318565675
410395,2181,1676,505,203.0,708.0,4076,410395,Campina do Simão,17.369970559371932,41.118743866535816
410400,24701,18881,5820,1064.0,6884.0,38769,410400,Campina Grande do Sul,17.756454899533132,48.70128195207511
410405,2144,1631,513,59.0,572.0,4407,410405,Campo Bonito,12.979351032448378,37.0093033809848
410410,3368,2872,496,157.0,653.0,7125,410410,Campo do Tenente,9.164912280701754,40.30877192982456
410420,68262,53014,15248,3327.0,18575.0,112377,410420,Campo Largo,16.529183017877326,47.17513370173612
410425,13723,11058,2665,585.0,3250.0,24843,410425,Campo Magro,13.082155939298795,44.51153242362034
410430,58642,45281,13361,2448.0,15809.0,87194,410430,Campo Mourão,18.130834690460354,51.93132554992316
410440,8689,6625,2064,274.0,2338.0,16655,410440,Cândido de Abreu,14.037826478534972,39.777844491143796
410442,8133,6083,2050,398.0,2448.0,14983,410442,Candói,16.338516985917373,40.5993459253821
410445,7159,5719,1440,222.0,1662.0,12952,410445,Cantagalo,12.831995058678197,44.155342804200124
410450,12913,9660,3253,444.0,3697.0,18526,410450,Capanema,19.955737881895715,52.142934254561155
410460,9041,7011,2030,422.0,2452.0,14970,410460,Capitão Leônidas Marques,16.37942551770207,46.833667334669336
410465,10187,8385,1802,1178.0,2980.0,19163,410465,Carambeí,15.550801022804361,43.7561968376559
410470,8421,6323,2098,247.0,2345.0,13706,410470,Carlópolis,17.10929519918284,46.133080402743325
410480,199168,152830,46338,12958.0,59296.0,286205,410480,Cascavel,20.718016806135463,53.39878758232736
410490,38446,30679,7767,696.0,8463.0,67084,410490,Castro,12.615526802218113,45.73221632580049
